id,fname,lname,birth date,gender,image,birth
61,Vince,Gilligan,,m,https://www.gstatic.com/tv/thumb/persons/255299/255299_v9_bb.jpg,1970-09-12
62,David ,Benioff,,m,https://m.media-amazon.com/images/M/MV5BMTAzNjQzMTEzMzJeQTJeQWpwZ15BbWU3MDkxNjA4NDc@._V1_.jpg,1980-12-21
63,clark,johnson,,m,https://www.gstatic.com/tv/thumb/persons/76819/76819_v9_bb.jpg,1999-22-03
64,steven,sandoval,,m,https://static.wikia.nocookie.net/the-owl-house/images/0/0c/Image-original.jpg/revision/latest?cb=20200713213153,1999-11-03
65,james,cameron,,m,https://www.gstatic.com/tv/thumb/persons/263/263_v9_bb.jpg,1980-11-09
66,henry,bronchtein,,m,https://assets.mubicdn.net/images/cast_member/573195/image-w240.jpg?1542500301,1960-12-01
67,jeremy,lovering,,m,https://www.gstatic.com/tv/thumb/persons/571464/571464_v9_ba.jpg,1950-11-06
68,Yasuhiro ,Irie,,m,https://www.anime-planet.com/images/people/yasuhiro-irie-5585.jpg?t=1507397136,1970-12-05
69,cari,joji,,m,https://i.insider.com/55e70d689dd7cc1d008b79bf?width=1100&format=jpeg&auto=webp,1960-03-09
70,hideo,nakata,,m,https://asianwiki.com/images/b/be/Hideonakata.jpg,1988-04-05
71,joss,whedon,,m,https://www.gstatic.com/tv/thumb/persons/79038/79038_v9_bb.jpg,1999-22-03
72,michael,uppendi,,m,https://www.gstatic.com/tv/thumb/persons/264562/264562_v9_ba.jpg,1999-22-03
73,greg,danels,,m,https://www.gstatic.com/tv/thumb/persons/79037/79037_v9_ba.jpg,1999-22-03
74,james,burrows,,m,https://www.gstatic.com/tv/thumb/persons/75491/75491_v9_ba.jpg,1999-22-03
75,adam,pally,,m,https://www.gstatic.com/tv/thumb/persons/527848/527848_v9_bb.jpg,1980-11-09
76,baran,odar,,m,https://www.gstatic.com/tv/thumb/persons/593853/593853_v9_ba.jpg,1980-11-09
77,shingo,natsume,,m,https://cdn.myanimelist.net/images/voiceactors/3/45505.jpg,1980-11-09
78,jose,palida,,m,https://www.gstatic.com/tv/thumb/persons/216298/216298_v9_ba.jpg,1980-12-21
79,hioyuki,tanaka,,m,https://cdn.myanimelist.net/images/voiceactors/1/25267.jpg,1980-12-21
80,David ,caffery,,m,"https://m.media-amazon.com/images/M/MV5BOTJmMjMxODEtOTFmMi00OWVhLTliZDEtNTM2ZDQ2ZGFkMzU3XkEyXkFqcGdeQXVyNDgyMTk0Mg@@._V1_UY317_CR192,0,214,317_AL_.jpg",1980-11-09
